"s","p","o"
"http://ufs.br/ontologies#_returns","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_test","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#IfExp"
"http://ufs.br/ontologies#_cause","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_defaults","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#Pow","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_ctx","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Name"
"http://ufs.br/ontologies#_decorator_list","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#FunctionDef"
"http://ufs.br/ontologies#_kw_defaults","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_comparators","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Compare"
"http://ufs.br/ontologies#_ifs","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#UnaryOp","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_optional_vars","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#withitem"
"http://ufs.br/ontologies#_names","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#Delete","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#AsyncFor","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_argtypes","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_vararg","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#arguments"
"http://ufs.br/ontologies#_iter","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_names","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Global"
"http://ufs.br/ontologies#ExtSlice","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#slice"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Subscript"
"http://ufs.br/ontologies#_upper","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Slice"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#keyword"
"http://ufs.br/ontologies#_op","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#operator"
