"s","p","o"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028135ab0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#FunctionDef"
"http://ufs.br/ontologies/mpl2kdl#Tuple0x7f3028134e80","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028137e50","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Assign0x7f3028137dc0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028134ca0","http://ufs.br/ontologies/mpl2kdl#_id","request"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137100","http://ufs.br/ontologies/mpl2kdl#_id","socket_connection"
"http://ufs.br/ontologies/mpl2kdl#Tuple0x7f3028137220","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Tuple"
"http://ufs.br/ontologies/mpl2kdl#Module0x7f3028137fd0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f30281354b0"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028136a10","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#arguments0x7f3028134dc0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#arguments"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136aa0","http://ufs.br/ontologies/mpl2kdl#_id","request_size"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f3028137eb0","http://ufs.br/ontologies/mpl2kdl#_arg","ssid"
"http://ufs.br/ontologies/mpl2kdl#Attribute0x7f3028137d30","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028134a90","http://ufs.br/ontologies/mpl2kdl#_id","request"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f3028137b80","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f3028137b50"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281373a0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136cb0","http://ufs.br/ontologies/mpl2kdl#_id","connection"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028136c80","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#FunctionDef"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028136500","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f30281365f0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028134df0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#arguments0x7f3028134dc0"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028134c70","http://ufs.br/ontologies/mpl2kdl#_value","/?locker=on"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f3028134b80","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#arg"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f3028137c70","http://ufs.br/ontologies/mpl2kdl#_targets","http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137c40"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137be0","http://ufs.br/ontologies/mpl2kdl#_id","WLAN"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f3028137190","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Expr"
"http://ufs.br/ontologies/mpl2kdl#BinOp0x7f3028136dd0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#BinOp"
