"s","p","o"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f6a0","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f670"
"http://ufs.br/ontologies/mpl2kdl#While0x7f215761f5e0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#While"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f700","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Assign"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fb50","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f6a0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f610","http://ufs.br/ontologies/mpl2kdl#_value","2"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f6d0","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f215761c880"
"http://ufs.br/ontologies/mpl2kdl#ImportFrom0x7f215761fd30","http://ufs.br/ontologies/mpl2kdl#_module","digitalLockerRefRef.digitalLocker_librayRef"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ed70","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f880","http://ufs.br/ontologies/mpl2kdl#_value","NameOfNetworkTP"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761ee30","http://ufs.br/ontologies/mpl2kdl#_value","6"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fd00","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761efb0","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761ef50"
"http://ufs.br/ontologies/mpl2kdl#Compare0x7f215761f040","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Compare"
"http://ufs.br/ontologies/mpl2kdl#Compare0x7f215761ee90","http://ufs.br/ontologies/mpl2kdl#_ops","http://ufs.br/ontologies/mpl2kdl#Eq0x7f215761d150"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f370","http://ufs.br/ontologies/mpl2kdl#_targets","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f340"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fca0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f010","http://ufs.br/ontologies/mpl2kdl#_id","locker_on"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ed40","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f215761faf0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Expr0x7f215761fa60"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f9d0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
